0000: Cmd(op=0x01, flags=0x02, w0=0, w1=0, s0=1, s1=0, src=0x80000000, dst=0x00000000, sz/M=0x00000800, a0=0x00000020, a1=0x00000040, a2=0x00000040)
0001: Cmd(op=0x03, flags=0x00, w0=0, w1=0, s0=2, s1=0, src=0x80006000, dst=0x00001000, sz/M=0x00000800, a0=0x00000000, a1=0x00000000, a2=0x00000000)
0002: Cmd(op=0x10, flags=0x00, w0=1, w1=2, s0=5, s1=0, src=0x00000000, dst=0x00002000, sz/M=0x00000020, a0=0x00001000, a1=0x00000020, a2=0x00000040)
0003: Cmd(op=0x01, flags=0x02, w0=0, w1=0, s0=3, s1=0, src=0x80000000, dst=0x00000800, sz/M=0x00000800, a0=0x00000020, a1=0x00000040, a2=0x00000040)
0004: Cmd(op=0x03, flags=0x00, w0=0, w1=0, s0=4, s1=0, src=0x80006800, dst=0x00001800, sz/M=0x00000800, a0=0x00000000, a1=0x00000000, a2=0x00000000)
0005: Cmd(op=0x21, flags=0x01, w0=5, w1=0, s0=6, s1=0, src=0x00002000, dst=0x00003000, sz/M=0x00000020, a0=0x00000020, a1=0x80007000, a2=0x00000000)
0006: Cmd(op=0x02, flags=0x02, w0=6, w1=0, s0=0, s1=0, src=0x00003000, dst=0x80004000, sz/M=0x00000400, a0=0x00000020, a1=0x00000020, a2=0x00000040)
0007: Cmd(op=0x10, flags=0x00, w0=3, w1=4, s0=5, s1=0, src=0x00000800, dst=0x00002000, sz/M=0x00000020, a0=0x00001800, a1=0x00000020, a2=0x00000040)
0008: Cmd(op=0x01, flags=0x02, w0=0, w1=0, s0=1, s1=0, src=0x80000800, dst=0x00000000, sz/M=0x00000800, a0=0x00000020, a1=0x00000040, a2=0x00000040)
0009: Cmd(op=0x03, flags=0x00, w0=0, w1=0, s0=2, s1=0, src=0x80006000, dst=0x00001000, sz/M=0x00000800, a0=0x00000000, a1=0x00000000, a2=0x00000000)
0010: Cmd(op=0x21, flags=0x01, w0=5, w1=0, s0=6, s1=0, src=0x00002000, dst=0x00003000, sz/M=0x00000020, a0=0x00000020, a1=0x80007100, a2=0x00000000)
0011: Cmd(op=0x02, flags=0x02, w0=6, w1=0, s0=0, s1=0, src=0x00003000, dst=0x80004020, sz/M=0x00000400, a0=0x00000020, a1=0x00000020, a2=0x00000040)
0012: Cmd(op=0x10, flags=0x00, w0=1, w1=2, s0=5, s1=0, src=0x00000000, dst=0x00002000, sz/M=0x00000020, a0=0x00001000, a1=0x00000020, a2=0x00000040)
0013: Cmd(op=0x01, flags=0x02, w0=0, w1=0, s0=3, s1=0, src=0x80000800, dst=0x00000800, sz/M=0x00000800, a0=0x00000020, a1=0x00000040, a2=0x00000040)
0014: Cmd(op=0x03, flags=0x00, w0=0, w1=0, s0=4, s1=0, src=0x80006800, dst=0x00001800, sz/M=0x00000800, a0=0x00000000, a1=0x00000000, a2=0x00000000)
0015: Cmd(op=0x21, flags=0x01, w0=5, w1=0, s0=6, s1=0, src=0x00002000, dst=0x00003000, sz/M=0x00000020, a0=0x00000020, a1=0x80007000, a2=0x00000000)
0016: Cmd(op=0x02, flags=0x02, w0=6, w1=0, s0=0, s1=0, src=0x00003000, dst=0x80004800, sz/M=0x00000400, a0=0x00000020, a1=0x00000020, a2=0x00000040)
0017: Cmd(op=0x10, flags=0x00, w0=3, w1=4, s0=5, s1=0, src=0x00000800, dst=0x00002000, sz/M=0x00000020, a0=0x00001800, a1=0x00000020, a2=0x00000040)
0018: Cmd(op=0x21, flags=0x01, w0=5, w1=0, s0=6, s1=0, src=0x00002000, dst=0x00003000, sz/M=0x00000020, a0=0x00000020, a1=0x80007100, a2=0x00000000)
0019: Cmd(op=0x02, flags=0x02, w0=6, w1=0, s0=0, s1=0, src=0x00003000, dst=0x80004820, sz/M=0x00000400, a0=0x00000020, a1=0x00000020, a2=0x00000040)
