0000: Cmd(op=0x01, flags=0x02, w0=0, w1=0, s0=1, s1=0, src=0x80000000, dst=0x00001000, sz/M=0x00000800, a0=0x00000020, a1=0x00000040, a2=0x00000040)
0001: Cmd(op=0x03, flags=0x00, w0=0, w1=0, s0=2, s1=0, src=0x80006000, dst=0x00002000, sz/M=0x00000800, a0=0x00000000, a1=0x00000000, a2=0x00000000)
0002: Cmd(op=0x01, flags=0x02, w0=0, w1=0, s0=3, s1=0, src=0x80009000, dst=0x00003000, sz/M=0x00000400, a0=0x00000020, a1=0x00000020, a2=0x00000040)
0003: Cmd(op=0x10, flags=0x00, w0=1, w1=2, s0=4, s1=0, src=0x00001000, dst=0x00000000, sz/M=0x00000020, a0=0x00002000, a1=0x00000020, a2=0x00000040)
0004: Cmd(op=0x01, flags=0x02, w0=0, w1=0, s0=5, s1=0, src=0x80000000, dst=0x00001800, sz/M=0x00000800, a0=0x00000020, a1=0x00000040, a2=0x00000040)
0005: Cmd(op=0x03, flags=0x00, w0=0, w1=0, s0=6, s1=0, src=0x80006800, dst=0x00002800, sz/M=0x00000800, a0=0x00000000, a1=0x00000000, a2=0x00000000)
0006: Cmd(op=0x01, flags=0x02, w0=0, w1=0, s0=7, s1=0, src=0x80009020, dst=0x00003400, sz/M=0x00000400, a0=0x00000020, a1=0x00000020, a2=0x00000040)
0007: Cmd(op=0x21, flags=0x01, w0=4, w1=0, s0=8, s1=0, src=0x00000000, dst=0x00003800, sz/M=0x00000020, a0=0x00000020, a1=0x80007000, a2=0x00000000)
0008: Cmd(op=0x40, flags=0x04, w0=8, w1=3, s0=9, s1=0, src=0x00003800, dst=0x00003800, sz/M=0x00000400, a0=0x00003000, a1=0x007FFF80, a2=0x00000000)
0009: Cmd(op=0x02, flags=0x02, w0=9, w1=0, s0=0, s1=0, src=0x00003800, dst=0x80004000, sz/M=0x00000400, a0=0x00000020, a1=0x00000020, a2=0x00000040)
0010: Cmd(op=0x10, flags=0x00, w0=5, w1=6, s0=10, s1=0, src=0x00001800, dst=0x00000000, sz/M=0x00000020, a0=0x00002800, a1=0x00000020, a2=0x00000040)
0011: Cmd(op=0x01, flags=0x02, w0=0, w1=0, s0=1, s1=0, src=0x80000800, dst=0x00001000, sz/M=0x00000800, a0=0x00000020, a1=0x00000040, a2=0x00000040)
0012: Cmd(op=0x03, flags=0x00, w0=0, w1=0, s0=2, s1=0, src=0x80006000, dst=0x00002000, sz/M=0x00000800, a0=0x00000000, a1=0x00000000, a2=0x00000000)
0013: Cmd(op=0x01, flags=0x02, w0=0, w1=0, s0=11, s1=0, src=0x80009800, dst=0x00003000, sz/M=0x00000400, a0=0x00000020, a1=0x00000020, a2=0x00000040)
0014: Cmd(op=0x21, flags=0x01, w0=10, w1=0, s0=12, s1=0, src=0x00000000, dst=0x00003800, sz/M=0x00000020, a0=0x00000020, a1=0x80007100, a2=0x00000000)
0015: Cmd(op=0x40, flags=0x04, w0=12, w1=7, s0=13, s1=0, src=0x00003800, dst=0x00003800, sz/M=0x00000400, a0=0x00003400, a1=0x007FFF80, a2=0x00000000)
0016: Cmd(op=0x02, flags=0x02, w0=13, w1=0, s0=0, s1=0, src=0x00003800, dst=0x80004020, sz/M=0x00000400, a0=0x00000020, a1=0x00000020, a2=0x00000040)
0017: Cmd(op=0x10, flags=0x00, w0=1, w1=2, s0=14, s1=0, src=0x00001000, dst=0x00000000, sz/M=0x00000020, a0=0x00002000, a1=0x00000020, a2=0x00000040)
0018: Cmd(op=0x01, flags=0x02, w0=0, w1=0, s0=15, s1=0, src=0x80000800, dst=0x00001800, sz/M=0x00000800, a0=0x00000020, a1=0x00000040, a2=0x00000040)
0019: Cmd(op=0x03, flags=0x00, w0=0, w1=0, s0=16, s1=0, src=0x80006800, dst=0x00002800, sz/M=0x00000800, a0=0x00000000, a1=0x00000000, a2=0x00000000)
0020: Cmd(op=0x01, flags=0x02, w0=0, w1=0, s0=17, s1=0, src=0x80009820, dst=0x00003400, sz/M=0x00000400, a0=0x00000020, a1=0x00000020, a2=0x00000040)
0021: Cmd(op=0x21, flags=0x01, w0=14, w1=0, s0=18, s1=0, src=0x00000000, dst=0x00003800, sz/M=0x00000020, a0=0x00000020, a1=0x80007000, a2=0x00000000)
0022: Cmd(op=0x40, flags=0x04, w0=18, w1=11, s0=19, s1=0, src=0x00003800, dst=0x00003800, sz/M=0x00000400, a0=0x00003000, a1=0x007FFF80, a2=0x00000000)
0023: Cmd(op=0x02, flags=0x02, w0=19, w1=0, s0=0, s1=0, src=0x00003800, dst=0x80004800, sz/M=0x00000400, a0=0x00000020, a1=0x00000020, a2=0x00000040)
0024: Cmd(op=0x10, flags=0x00, w0=15, w1=16, s0=20, s1=0, src=0x00001800, dst=0x00000000, sz/M=0x00000020, a0=0x00002800, a1=0x00000020, a2=0x00000040)
0025: Cmd(op=0x21, flags=0x01, w0=20, w1=0, s0=21, s1=0, src=0x00000000, dst=0x00003800, sz/M=0x00000020, a0=0x00000020, a1=0x80007100, a2=0x00000000)
0026: Cmd(op=0x40, flags=0x04, w0=21, w1=17, s0=22, s1=0, src=0x00003800, dst=0x00003800, sz/M=0x00000400, a0=0x00003400, a1=0x007FFF80, a2=0x00000000)
0027: Cmd(op=0x02, flags=0x02, w0=22, w1=0, s0=0, s1=0, src=0x00003800, dst=0x80004820, sz/M=0x00000400, a0=0x00000020, a1=0x00000020, a2=0x00000040)
