0000: Cmd(op=0x01, flags=0x02, w0=0, w1=0, s0=1, s1=0, src=0x80000000, dst=0x00001000, sz/M=0x00000800, a0=0x00000020, a1=0x00000040, a2=0x00000040)
0001: Cmd(op=0x03, flags=0x00, w0=0, w1=0, s0=2, s1=0, src=0x80006000, dst=0x00002000, sz/M=0x00000800, a0=0x00000000, a1=0x00000000, a2=0x00000000)
0002: Cmd(op=0x01, flags=0x02, w0=0, w1=0, s0=3, s1=0, src=0x80009000, dst=0x00003C00, sz/M=0x00000400, a0=0x00000020, a1=0x00000020, a2=0x00000040)
0003: Cmd(op=0x7F, flags=0x00, w0=3, w1=0, s0=0, s1=0, src=0x00000000, dst=0x00000000, sz/M=0x00000000, a0=0x00000000, a1=0x00000000, a2=0x00000000)
0004: Cmd(op=0x7F, flags=0x00, w0=0, w1=0, s0=25, s1=0, src=0x00000000, dst=0x00000000, sz/M=0x00000000, a0=0x00000000, a1=0x00000000, a2=0x00000000)
0005: Cmd(op=0x7F, flags=0x00, w0=25, w1=0, s0=0, s1=0, src=0x00000000, dst=0x00000000, sz/M=0x00000000, a0=0x00000000, a1=0x00000000, a2=0x00000000)
0006: Cmd(op=0x7F, flags=0x00, w0=0, w1=0, s0=26, s1=0, src=0x00000000, dst=0x00000000, sz/M=0x00000000, a0=0x00000000, a1=0x00000000, a2=0x00000000)
0007: Cmd(op=0x7F, flags=0x00, w0=26, w1=0, s0=0, s1=0, src=0x00000000, dst=0x00000000, sz/M=0x00000000, a0=0x00000000, a1=0x00000000, a2=0x00000000)
0008: Cmd(op=0x7F, flags=0x00, w0=0, w1=0, s0=27, s1=0, src=0x00000000, dst=0x00000000, sz/M=0x00000000, a0=0x00000000, a1=0x00000000, a2=0x00000000)
0009: Cmd(op=0x7F, flags=0x00, w0=27, w1=0, s0=0, s1=0, src=0x00000000, dst=0x00000000, sz/M=0x00000000, a0=0x00000000, a1=0x00000000, a2=0x00000000)
0010: Cmd(op=0x7F, flags=0x00, w0=0, w1=0, s0=28, s1=0, src=0x00000000, dst=0x00000000, sz/M=0x00000000, a0=0x00000000, a1=0x00000000, a2=0x00000000)
0011: Cmd(op=0x7F, flags=0x00, w0=28, w1=0, s0=0, s1=0, src=0x00000000, dst=0x00000000, sz/M=0x00000000, a0=0x00000000, a1=0x00000000, a2=0x00000000)
