index,type,name
1,DequantizeLinear,input_ExternalInput_DQ
2,Constant,/Constant
3,Constant,/Constant_1
4,Constant,/Constant_2
5,Constant,/Constant_3
6,Constant,/Constant_4
7,Constant,Constant_25
8,Constant,/Constant_5
9,Constant,/Constant_6
10,Constant,Constant_29
11,Constant,Constant_31
12,Constant,/Constant_7
13,Constant,/upsample/Constant
14,Constant,/upsample_1/Constant
15,Constant,/upsample_2/Constant
16,QuantizeLinear,decoder.blocks.0.0.weight_QuantizeLinear
17,QuantizeLinear,decoder.blocks.0.4.weight_QuantizeLinear
18,QuantizeLinear,decoder.blocks.1.0.weight_QuantizeLinear
19,QuantizeLinear,decoder.blocks.1.4.weight_QuantizeLinear
20,QuantizeLinear,decoder.upconvs.0.weight_QuantizeLinear
21,QuantizeLinear,decoder.upconvs.1.weight_QuantizeLinear
22,QuantizeLinear,encoder.blocks.0.0.weight_QuantizeLinear
23,QuantizeLinear,encoder.blocks.0.4.weight_QuantizeLinear
24,QuantizeLinear,encoder.blocks.1.0.weight_QuantizeLinear
25,QuantizeLinear,encoder.blocks.1.4.weight_QuantizeLinear
26,QuantizeLinear,final_conv.0.weight_QuantizeLinear
27,QuantizeLinear,final_conv.4.weight_QuantizeLinear
28,QuantizeLinear,final_conv.8.weight_QuantizeLinear
29,Shape,/Shape
30,Shape,/Shape_1
31,Shape,/Shape_2
32,DequantizeLinear,decoder.blocks.0.0.weight_DequantizeLinear
33,DequantizeLinear,decoder.blocks.0.4.weight_DequantizeLinear
34,DequantizeLinear,decoder.blocks.1.0.weight_DequantizeLinear
35,DequantizeLinear,decoder.blocks.1.4.weight_DequantizeLinear
36,DequantizeLinear,decoder.upconvs.0.weight_DequantizeLinear
37,DequantizeLinear,decoder.upconvs.1.weight_DequantizeLinear
38,DequantizeLinear,encoder.blocks.0.0.weight_DequantizeLinear
39,DequantizeLinear,encoder.blocks.0.4.weight_DequantizeLinear
40,DequantizeLinear,encoder.blocks.1.0.weight_DequantizeLinear
41,DequantizeLinear,encoder.blocks.1.4.weight_DequantizeLinear
42,DequantizeLinear,final_conv.0.weight_DequantizeLinear
43,DequantizeLinear,final_conv.4.weight_DequantizeLinear
44,DequantizeLinear,final_conv.8.weight_DequantizeLinear
45,Gather,/Gather
46,Gather,/Gather_1
47,Gather,/Gather_2
48,Unsqueeze,/Unsqueeze
49,Unsqueeze,/Unsqueeze_1
50,Unsqueeze,/Unsqueeze_2
51,Concat,/Concat
52,Reshape,/Reshape
53,Gather,/Gather_3
54,Gather,/Gather_4
55,Gather,/Gather_5
56,Resize,/upsample/Resize
57,Resize,/upsample_1/Resize
58,Resize,/upsample_2/Resize
59,QuantizeLinear,/upsample/Resize_output_0_QuantizeLinear
60,QuantizeLinear,/upsample_1/Resize_output_0_QuantizeLinear
61,QuantizeLinear,/upsample_2/Resize_output_0_QuantizeLinear
62,DequantizeLinear,/upsample/Resize_output_0_DequantizeLinear
63,DequantizeLinear,/upsample_1/Resize_output_0_DequantizeLinear
64,DequantizeLinear,/upsample_2/Resize_output_0_DequantizeLinear
65,Conv,/encoder/blocks.0/blocks.0.0/Conv
66,Conv,/encoder/blocks.0/blocks.0.0_1/Conv
67,Conv,/encoder/blocks.0/blocks.0.0_2/Conv
68,Relu,/encoder/blocks.0/blocks.0.2/Relu
69,Relu,/encoder/blocks.0/blocks.0.2_1/Relu
70,Relu,/encoder/blocks.0/blocks.0.2_2/Relu
71,QuantizeLinear,/encoder/blocks.0/blocks.0.2/Relu_output_0_QuantizeLinear
72,QuantizeLinear,/encoder/blocks.0/blocks.0.2_1/Relu_output_0_QuantizeLinear
73,QuantizeLinear,/encoder/blocks.0/blocks.0.2_2/Relu_output_0_QuantizeLinear
74,DequantizeLinear,/encoder/blocks.0/blocks.0.2/Relu_output_0_DequantizeLinear
75,DequantizeLinear,/encoder/blocks.0/blocks.0.2_1/Relu_output_0_DequantizeLinear
76,DequantizeLinear,/encoder/blocks.0/blocks.0.2_2/Relu_output_0_DequantizeLinear
77,Conv,/encoder/blocks.0/blocks.0.4/Conv
78,Conv,/encoder/blocks.0/blocks.0.4_1/Conv
79,Conv,/encoder/blocks.0/blocks.0.4_2/Conv
80,Relu,/encoder/blocks.0/blocks.0.6/Relu
81,Relu,/encoder/blocks.0/blocks.0.6_1/Relu
82,Relu,/encoder/blocks.0/blocks.0.6_2/Relu
83,MaxPool,/encoder/downs.0/MaxPool
84,MaxPool,/encoder/downs.0_1/MaxPool
85,MaxPool,/encoder/downs.0_2/MaxPool
86,QuantizeLinear,/encoder/downs.0/MaxPool_output_0_QuantizeLinear
87,QuantizeLinear,/encoder/downs.0_1/MaxPool_output_0_QuantizeLinear
88,QuantizeLinear,/encoder/downs.0_2/MaxPool_output_0_QuantizeLinear
89,DequantizeLinear,/encoder/downs.0/MaxPool_output_0_DequantizeLinear
90,DequantizeLinear,/encoder/downs.0_1/MaxPool_output_0_DequantizeLinear
91,DequantizeLinear,/encoder/downs.0_2/MaxPool_output_0_DequantizeLinear
92,Conv,/encoder/blocks.1/blocks.1.0/Conv
93,Conv,/encoder/blocks.1/blocks.1.0_1/Conv
94,Conv,/encoder/blocks.1/blocks.1.0_2/Conv
95,Relu,/encoder/blocks.1/blocks.1.2/Relu
96,Relu,/encoder/blocks.1/blocks.1.2_1/Relu
97,Relu,/encoder/blocks.1/blocks.1.2_2/Relu
98,QuantizeLinear,/encoder/blocks.1/blocks.1.2/Relu_output_0_QuantizeLinear
99,QuantizeLinear,/encoder/blocks.1/blocks.1.2_1/Relu_output_0_QuantizeLinear
100,QuantizeLinear,/encoder/blocks.1/blocks.1.2_2/Relu_output_0_QuantizeLinear
101,DequantizeLinear,/encoder/blocks.1/blocks.1.2/Relu_output_0_DequantizeLinear
102,DequantizeLinear,/encoder/blocks.1/blocks.1.2_1/Relu_output_0_DequantizeLinear
103,DequantizeLinear,/encoder/blocks.1/blocks.1.2_2/Relu_output_0_DequantizeLinear
104,Conv,/encoder/blocks.1/blocks.1.4/Conv
105,Conv,/encoder/blocks.1/blocks.1.4_1/Conv
106,Conv,/encoder/blocks.1/blocks.1.4_2/Conv
107,Relu,/encoder/blocks.1/blocks.1.6/Relu
108,Relu,/encoder/blocks.1/blocks.1.6_1/Relu
109,Relu,/encoder/blocks.1/blocks.1.6_2/Relu
110,MaxPool,/encoder/downs.1/MaxPool
111,MaxPool,/encoder/downs.1_1/MaxPool
112,MaxPool,/encoder/downs.1_2/MaxPool
113,Concat,/Concat_1
114,QuantizeLinear,/Concat_1_output_0_QuantizeLinear
115,DequantizeLinear,/Concat_1_output_0_DequantizeLinear
116,ConvTranspose,/decoder/upconvs.0/ConvTranspose
117,Concat,/decoder/Concat
118,QuantizeLinear,/decoder/Concat_output_0_QuantizeLinear
119,DequantizeLinear,/decoder/Concat_output_0_DequantizeLinear
120,Conv,/decoder/blocks.0/blocks.0.0/Conv
121,Relu,/decoder/blocks.0/blocks.0.2/Relu
122,QuantizeLinear,/decoder/blocks.0/blocks.0.2/Relu_output_0_QuantizeLinear
123,DequantizeLinear,/decoder/blocks.0/blocks.0.2/Relu_output_0_DequantizeLinear
124,Conv,/decoder/blocks.0/blocks.0.4/Conv
125,Relu,/decoder/blocks.0/blocks.0.6/Relu
126,QuantizeLinear,/decoder/blocks.0/blocks.0.6/Relu_output_0_QuantizeLinear
127,DequantizeLinear,/decoder/blocks.0/blocks.0.6/Relu_output_0_DequantizeLinear
128,ConvTranspose,/decoder/upconvs.1/ConvTranspose
129,Concat,/decoder/Concat_1
130,QuantizeLinear,/decoder/Concat_1_output_0_QuantizeLinear
131,DequantizeLinear,/decoder/Concat_1_output_0_DequantizeLinear
132,Conv,/decoder/blocks.1/blocks.1.0/Conv
133,Relu,/decoder/blocks.1/blocks.1.2/Relu
134,QuantizeLinear,/decoder/blocks.1/blocks.1.2/Relu_output_0_QuantizeLinear
135,DequantizeLinear,/decoder/blocks.1/blocks.1.2/Relu_output_0_DequantizeLinear
136,Conv,/decoder/blocks.1/blocks.1.4/Conv
137,Relu,/decoder/blocks.1/blocks.1.6/Relu
138,QuantizeLinear,/decoder/blocks.1/blocks.1.6/Relu_output_0_QuantizeLinear
139,DequantizeLinear,/decoder/blocks.1/blocks.1.6/Relu_output_0_DequantizeLinear
140,Conv,/final_conv/final_conv.0/Conv
141,Relu,/final_conv/final_conv.2/Relu
142,QuantizeLinear,/final_conv/final_conv.2/Relu_output_0_QuantizeLinear
143,DequantizeLinear,/final_conv/final_conv.2/Relu_output_0_DequantizeLinear
144,Conv,/final_conv/final_conv.4/Conv
145,Relu,/final_conv/final_conv.6/Relu
146,QuantizeLinear,/final_conv/final_conv.6/Relu_output_0_QuantizeLinear
147,DequantizeLinear,/final_conv/final_conv.6/Relu_output_0_DequantizeLinear
148,Conv,/final_conv/final_conv.8/Conv
149,QuantizeLinear,output_QuantizeLinear
