index,type,name
1,DequantizeLinear,input_ExternalInput_DQ
2,QuantizeLinear,decoder.blocks.0.0.weight_QuantizeLinear
3,QuantizeLinear,decoder.blocks.0.4.weight_QuantizeLinear
4,QuantizeLinear,decoder.blocks.1.0.weight_QuantizeLinear
5,QuantizeLinear,decoder.blocks.1.4.weight_QuantizeLinear
6,QuantizeLinear,decoder.upconvs.0.weight_QuantizeLinear
7,QuantizeLinear,decoder.upconvs.1.weight_QuantizeLinear
8,QuantizeLinear,encoder.blocks.0.0.weight_QuantizeLinear
9,QuantizeLinear,encoder.blocks.0.4.weight_QuantizeLinear
10,QuantizeLinear,encoder.blocks.1.0.weight_QuantizeLinear
11,QuantizeLinear,encoder.blocks.1.4.weight_QuantizeLinear
12,QuantizeLinear,final_conv.0.weight_QuantizeLinear
13,QuantizeLinear,final_conv.4.weight_QuantizeLinear
14,QuantizeLinear,final_conv.8.weight_QuantizeLinear
15,DequantizeLinear,decoder.blocks.0.0.weight_DequantizeLinear
16,DequantizeLinear,decoder.blocks.0.4.weight_DequantizeLinear
17,DequantizeLinear,decoder.blocks.1.0.weight_DequantizeLinear
18,DequantizeLinear,decoder.blocks.1.4.weight_DequantizeLinear
19,DequantizeLinear,decoder.upconvs.0.weight_DequantizeLinear
20,DequantizeLinear,decoder.upconvs.1.weight_DequantizeLinear
21,DequantizeLinear,encoder.blocks.0.0.weight_DequantizeLinear
22,DequantizeLinear,encoder.blocks.0.4.weight_DequantizeLinear
23,DequantizeLinear,encoder.blocks.1.0.weight_DequantizeLinear
24,DequantizeLinear,encoder.blocks.1.4.weight_DequantizeLinear
25,DequantizeLinear,final_conv.0.weight_DequantizeLinear
26,DequantizeLinear,final_conv.4.weight_DequantizeLinear
27,DequantizeLinear,final_conv.8.weight_DequantizeLinear
28,Reshape,/Reshape
29,Gather,/Gather_3
30,Gather,/Gather_4
31,Gather,/Gather_5
32,Resize,/upsample/Resize
33,Resize,/upsample_1/Resize
34,Resize,/upsample_2/Resize
35,QuantizeLinear,/upsample/Resize_output_0_QuantizeLinear
36,QuantizeLinear,/upsample_1/Resize_output_0_QuantizeLinear
37,QuantizeLinear,/upsample_2/Resize_output_0_QuantizeLinear
38,DequantizeLinear,/upsample/Resize_output_0_DequantizeLinear
39,DequantizeLinear,/upsample_1/Resize_output_0_DequantizeLinear
40,DequantizeLinear,/upsample_2/Resize_output_0_DequantizeLinear
41,Conv,/encoder/blocks.0/blocks.0.0/Conv
42,Conv,/encoder/blocks.0/blocks.0.0_1/Conv
43,Conv,/encoder/blocks.0/blocks.0.0_2/Conv
44,Relu,/encoder/blocks.0/blocks.0.2/Relu
45,Relu,/encoder/blocks.0/blocks.0.2_1/Relu
46,Relu,/encoder/blocks.0/blocks.0.2_2/Relu
47,QuantizeLinear,/encoder/blocks.0/blocks.0.2/Relu_output_0_QuantizeLinear
48,QuantizeLinear,/encoder/blocks.0/blocks.0.2_1/Relu_output_0_QuantizeLinear
49,QuantizeLinear,/encoder/blocks.0/blocks.0.2_2/Relu_output_0_QuantizeLinear
50,DequantizeLinear,/encoder/blocks.0/blocks.0.2/Relu_output_0_DequantizeLinear
51,DequantizeLinear,/encoder/blocks.0/blocks.0.2_1/Relu_output_0_DequantizeLinear
52,DequantizeLinear,/encoder/blocks.0/blocks.0.2_2/Relu_output_0_DequantizeLinear
53,Conv,/encoder/blocks.0/blocks.0.4/Conv
54,Conv,/encoder/blocks.0/blocks.0.4_1/Conv
55,Conv,/encoder/blocks.0/blocks.0.4_2/Conv
56,Relu,/encoder/blocks.0/blocks.0.6/Relu
57,Relu,/encoder/blocks.0/blocks.0.6_1/Relu
58,Relu,/encoder/blocks.0/blocks.0.6_2/Relu
59,MaxPool,/encoder/downs.0/MaxPool
60,MaxPool,/encoder/downs.0_1/MaxPool
61,MaxPool,/encoder/downs.0_2/MaxPool
62,QuantizeLinear,/encoder/downs.0/MaxPool_output_0_QuantizeLinear
63,QuantizeLinear,/encoder/downs.0_1/MaxPool_output_0_QuantizeLinear
64,QuantizeLinear,/encoder/downs.0_2/MaxPool_output_0_QuantizeLinear
65,DequantizeLinear,/encoder/downs.0/MaxPool_output_0_DequantizeLinear
66,DequantizeLinear,/encoder/downs.0_1/MaxPool_output_0_DequantizeLinear
67,DequantizeLinear,/encoder/downs.0_2/MaxPool_output_0_DequantizeLinear
68,Conv,/encoder/blocks.1/blocks.1.0/Conv
69,Conv,/encoder/blocks.1/blocks.1.0_1/Conv
70,Conv,/encoder/blocks.1/blocks.1.0_2/Conv
71,Relu,/encoder/blocks.1/blocks.1.2/Relu
72,Relu,/encoder/blocks.1/blocks.1.2_1/Relu
73,Relu,/encoder/blocks.1/blocks.1.2_2/Relu
74,QuantizeLinear,/encoder/blocks.1/blocks.1.2/Relu_output_0_QuantizeLinear
75,QuantizeLinear,/encoder/blocks.1/blocks.1.2_1/Relu_output_0_QuantizeLinear
76,QuantizeLinear,/encoder/blocks.1/blocks.1.2_2/Relu_output_0_QuantizeLinear
77,DequantizeLinear,/encoder/blocks.1/blocks.1.2/Relu_output_0_DequantizeLinear
