ParameterName,Count
encoder.blocks.0.0.weight,864
encoder.blocks.0.4.weight,9216
encoder.blocks.1.0.weight,9216
encoder.blocks.1.4.weight,9216
decoder.upconvs.0.weight,12288
decoder.upconvs.0.bias,32
decoder.upconvs.1.weight,4096
decoder.upconvs.1.bias,32
decoder.blocks.0.0.weight,36864
decoder.blocks.0.4.weight,9216
decoder.blocks.1.0.weight,36864
decoder.blocks.1.4.weight,9216
final_conv.0.weight,9216
final_conv.0.bias,32
final_conv.4.weight,9216
final_conv.4.bias,32
final_conv.8.weight,128
final_conv.8.bias,4
/upsample/Resize_output_0_zero_point,1
/upsample/Resize_output_0_scale,1
encoder.blocks.0.0.weight_zero_point,32
encoder.blocks.0.0.weight_scale,32
/encoder/blocks.0/blocks.0.2/Relu_output_0_scale,1
encoder.blocks.0.4.weight_scale,32
/encoder/downs.0/MaxPool_output_0_scale,1
encoder.blocks.1.0.weight_scale,32
/encoder/blocks.1/blocks.1.2/Relu_output_0_scale,1
encoder.blocks.1.4.weight_scale,32
/upsample_1/Resize_output_0_scale,1
/encoder/blocks.0/blocks.0.2_1/Relu_output_0_scale,1
/encoder/downs.0_1/MaxPool_output_0_scale,1
/encoder/blocks.1/blocks.1.2_1/Relu_output_0_scale,1
/upsample_2/Resize_output_0_scale,1
/encoder/blocks.0/blocks.0.2_2/Relu_output_0_scale,1
/encoder/downs.0_2/MaxPool_output_0_scale,1
/encoder/blocks.1/blocks.1.2_2/Relu_output_0_scale,1
/Concat_1_output_0_scale,1
decoder.upconvs.0.weight_scale,32
decoder.blocks.0.0.weight_scale,32
/decoder/blocks.0/blocks.0.2/Relu_output_0_scale,1
decoder.blocks.0.4.weight_scale,32
/decoder/blocks.0/blocks.0.6/Relu_output_0_scale,1
decoder.upconvs.1.weight_scale,32
/decoder/Concat_1_output_0_scale,1
decoder.blocks.1.0.weight_scale,32
/decoder/blocks.1/blocks.1.2/Relu_output_0_scale,1
decoder.blocks.1.4.weight_scale,32
/decoder/blocks.1/blocks.1.6/Relu_output_0_scale,1
final_conv.0.weight_scale,32
/final_conv/final_conv.2/Relu_output_0_scale,1
final_conv.4.weight_scale,32
/final_conv/final_conv.6/Relu_output_0_scale,1
output_zero_point,1
output_scale,1
final_conv.8.weight_zero_point,4
final_conv.8.weight_scale,4
input_ext_u8_zp,1
/Constant_output_0,1
/Constant_2_output_0,1
/Constant_7_output_0,1
/upsample/Constant_output_0,4
/Concat_output_0,5
