index,type,name
1,Constant,Constant_18
2,Gather,/Gather
3,Constant,/Constant
4,Reshape,/Reshape
5,Concat,/Concat
6,Gemm,/temporal_summarizer/_extra_in/_extra_in.0/Gemm
7,Relu,/temporal_summarizer/_extra_in/_extra_in.1/Relu
8,Constant,/temporal_summarizer/Constant
9,Unsqueeze,/temporal_summarizer/Unsqueeze
10,Concat,/temporal_summarizer/Concat
11,MatMul,/temporal_summarizer/_encode/_encode.0/MatMul
12,Add,/temporal_summarizer/_encode/_encode.0/Add
13,Relu,/temporal_summarizer/_encode/_encode.1/Relu
14,Add,/temporal_summarizer/Add
15,ReduceMean,/temporal_summarizer/transformer/transformer.0/attn/layer_norm/ReduceMean
16,Sub,/temporal_summarizer/transformer/transformer.0/attn/layer_norm/Sub
17,Constant,/temporal_summarizer/transformer/transformer.0/attn/layer_norm/Constant
18,Pow,/temporal_summarizer/transformer/transformer.0/attn/layer_norm/Pow
19,ReduceMean,/temporal_summarizer/transformer/transformer.0/attn/layer_norm/ReduceMean_1
20,Constant,/temporal_summarizer/transformer/transformer.0/attn/layer_norm/Constant_1
21,Add,/temporal_summarizer/transformer/transformer.0/attn/layer_norm/Add
22,Sqrt,/temporal_summarizer/transformer/transformer.0/attn/layer_norm/Sqrt
23,Div,/temporal_summarizer/transformer/transformer.0/attn/layer_norm/Div
24,Mul,/temporal_summarizer/transformer/transformer.0/attn/layer_norm/Mul
25,Add,/temporal_summarizer/transformer/transformer.0/attn/layer_norm/Add_1
26,MatMul,/temporal_summarizer/transformer/transformer.0/attn/c_attn/MatMul
27,Add,/temporal_summarizer/transformer/transformer.0/attn/c_attn/Add
28,Constant,/temporal_summarizer/transformer/transformer.0/attn/Constant
29,Reshape,/temporal_summarizer/transformer/transformer.0/attn/Reshape
30,Transpose,/temporal_summarizer/transformer/transformer.0/attn/Transpose
31,Constant,/temporal_summarizer/transformer/transformer.0/attn/Constant_1
32,Split,/temporal_summarizer/transformer/transformer.0/attn/Split
33,Constant,/temporal_summarizer/transformer/transformer.0/attn/Constant_2
34,Squeeze,/temporal_summarizer/transformer/transformer.0/attn/Squeeze
35,Constant,/temporal_summarizer/transformer/transformer.0/attn/Constant_3
36,Squeeze,/temporal_summarizer/transformer/transformer.0/attn/Squeeze_1
37,Constant,/temporal_summarizer/transformer/transformer.0/attn/Constant_4
38,Squeeze,/temporal_summarizer/transformer/transformer.0/attn/Squeeze_2
39,Transpose,/temporal_summarizer/transformer/transformer.0/attn/Transpose_1
40,Constant,/temporal_summarizer/transformer/transformer.0/attn/Constant_5
41,Mul,/temporal_summarizer/transformer/transformer.0/attn/Mul
42,Constant,/temporal_summarizer/transformer/transformer.0/attn/Constant_6
43,Mul,/temporal_summarizer/transformer/transformer.0/attn/Mul_1
