ParameterName,Count
pad,2
policy_model.temporal_summarizer._extra_in.0.weight,103424
policy_model.temporal_summarizer._extra_in.0.bias,512
policy_model.temporal_summarizer._encode.0.bias,512
policy_model.temporal_summarizer.transformer.0.attn.layer_norm.weight,512
policy_model.temporal_summarizer.transformer.0.attn.layer_norm.bias,512
policy_model.temporal_summarizer.transformer.0.attn.c_attn.bias,1536
policy_model.temporal_summarizer.transformer.0.attn.c_proj.bias,512
policy_model.temporal_summarizer.transformer.0.mlp.layer_norm.weight,512
policy_model.temporal_summarizer.transformer.0.mlp.layer_norm.bias,512
policy_model.temporal_summarizer.transformer.0.mlp.c_fc.bias,2048
policy_model.temporal_summarizer.transformer.0.mlp.c_proj.bias,512
policy_model.temporal_hydra.resblock.block_a.0.weight,524288
policy_model.temporal_hydra.resblock.block_a.0.bias,1024
policy_model.temporal_hydra.resblock.block_a.3.weight,524288
policy_model.temporal_hydra.resblock.block_a.3.bias,512
policy_model.temporal_hydra.resblock.block_b.1.weight,524288
policy_model.temporal_hydra.resblock.block_b.1.bias,1024
policy_model.temporal_hydra.resblock.block_b.4.weight,524288
policy_model.temporal_hydra.resblock.block_b.4.bias,512
policy_model.temporal_hydra.in_layer.plan.weight,131072
policy_model.temporal_hydra.in_layer.plan.bias,256
policy_model.temporal_hydra.in_layer.lead.weight,32768
policy_model.temporal_hydra.in_layer.lead.bias,64
policy_model.temporal_hydra.in_layer.lead_prob.weight,8192
policy_model.temporal_hydra.in_layer.lead_prob.bias,16
policy_model.temporal_hydra.in_layer.lane_lines_prob.weight,8192
policy_model.temporal_hydra.in_layer.lane_lines_prob.bias,16
policy_model.temporal_hydra.in_layer.road_edges.weight,16384
policy_model.temporal_hydra.in_layer.road_edges.bias,32
policy_model.temporal_hydra.in_layer.lane_lines.weight,32768
policy_model.temporal_hydra.in_layer.lane_lines.bias,64
policy_model.temporal_hydra.in_layer.desire_state.weight,16384
policy_model.temporal_hydra.in_layer.desire_state.bias,32
policy_model.temporal_hydra.in_layer.sim_pose.weight,16384
