ParameterName,Count
pad,3
vision_model.vision._en.stem.0.reparam_conv.weight,13824
vision_model.vision._en.stem.0.reparam_conv.bias,64
vision_model.vision._en.stem.1.reparam_conv.weight,576
vision_model.vision._en.stem.1.reparam_conv.bias,64
vision_model.vision._en.stem.2.reparam_conv.weight,4096
vision_model.vision._en.stem.2.reparam_conv.bias,64
vision_model.vision._en.stages.0.blocks.0.token_mixer.reparam_conv.weight,576
vision_model.vision._en.stages.0.blocks.0.token_mixer.reparam_conv.bias,64
vision_model.vision._en.stages.0.blocks.0.mlp.fc1.weight,12288
vision_model.vision._en.stages.0.blocks.0.mlp.fc1.bias,192
vision_model.vision._en.stages.0.blocks.0.mlp.fc2.weight,12288
vision_model.vision._en.stages.0.blocks.0.mlp.fc2.bias,64
vision_model.vision._en.stages.0.blocks.0.layer_scale.gamma,64
vision_model.vision._en.stages.0.blocks.1.token_mixer.reparam_conv.weight,576
vision_model.vision._en.stages.0.blocks.1.token_mixer.reparam_conv.bias,64
vision_model.vision._en.stages.0.blocks.1.mlp.fc1.weight,12288
vision_model.vision._en.stages.0.blocks.1.mlp.fc1.bias,192
vision_model.vision._en.stages.0.blocks.1.mlp.fc2.weight,12288
vision_model.vision._en.stages.0.blocks.1.mlp.fc2.bias,64
vision_model.vision._en.stages.0.blocks.1.layer_scale.gamma,64
vision_model.vision._en.stages.1.downsample.proj.0.reparam_conv.weight,6272
vision_model.vision._en.stages.1.downsample.proj.0.reparam_conv.bias,128
vision_model.vision._en.stages.1.downsample.proj.1.reparam_conv.weight,16384
vision_model.vision._en.stages.1.downsample.proj.1.reparam_conv.bias,128
vision_model.vision._en.stages.1.blocks.0.token_mixer.reparam_conv.weight,1152
vision_model.vision._en.stages.1.blocks.0.token_mixer.reparam_conv.bias,128
vision_model.vision._en.stages.1.blocks.0.mlp.fc1.weight,49152
vision_model.vision._en.stages.1.blocks.0.mlp.fc1.bias,384
vision_model.vision._en.stages.1.blocks.0.mlp.fc2.weight,49152
vision_model.vision._en.stages.1.blocks.0.mlp.fc2.bias,128
vision_model.vision._en.stages.1.blocks.0.layer_scale.gamma,128
vision_model.vision._en.stages.1.blocks.1.token_mixer.reparam_conv.weight,1152
vision_model.vision._en.stages.1.blocks.1.token_mixer.reparam_conv.bias,128
vision_model.vision._en.stages.1.blocks.1.mlp.fc1.weight,49152
vision_model.vision._en.stages.1.blocks.1.mlp.fc1.bias,384
vision_model.vision._en.stages.1.blocks.1.mlp.fc2.weight,49152
vision_model.vision._en.stages.1.blocks.1.mlp.fc2.bias,128
vision_model.vision._en.stages.1.blocks.1.layer_scale.gamma,128
vision_model.vision._en.stages.2.downsample.proj.0.reparam_conv.weight,12544
vision_model.vision._en.stages.2.downsample.proj.0.reparam_conv.bias,256
vision_model.vision._en.stages.2.downsample.proj.1.reparam_conv.weight,65536
vision_model.vision._en.stages.2.downsample.proj.1.reparam_conv.bias,256
vision_model.vision._en.stages.2.blocks.0.token_mixer.reparam_conv.weight,2304
vision_model.vision._en.stages.2.blocks.0.token_mixer.reparam_conv.bias,256
vision_model.vision._en.stages.2.blocks.0.mlp.fc1.weight,196608
vision_model.vision._en.stages.2.blocks.0.mlp.fc1.bias,768
vision_model.vision._en.stages.2.blocks.0.mlp.fc2.weight,196608
vision_model.vision._en.stages.2.blocks.0.mlp.fc2.bias,256
vision_model.vision._en.stages.2.blocks.0.layer_scale.gamma,256
vision_model.vision._en.stages.2.blocks.1.token_mixer.reparam_conv.weight,2304
vision_model.vision._en.stages.2.blocks.1.token_mixer.reparam_conv.bias,256
vision_model.vision._en.stages.2.blocks.1.mlp.fc1.weight,196608
vision_model.vision._en.stages.2.blocks.1.mlp.fc1.bias,768
vision_model.vision._en.stages.2.blocks.1.mlp.fc2.weight,196608
vision_model.vision._en.stages.2.blocks.1.mlp.fc2.bias,256
vision_model.vision._en.stages.2.blocks.1.layer_scale.gamma,256
vision_model.vision._en.stages.2.blocks.2.token_mixer.reparam_conv.weight,2304
vision_model.vision._en.stages.2.blocks.2.token_mixer.reparam_conv.bias,256
vision_model.vision._en.stages.2.blocks.2.mlp.fc1.weight,196608
vision_model.vision._en.stages.2.blocks.2.mlp.fc1.bias,768
vision_model.vision._en.stages.2.blocks.2.mlp.fc2.weight,196608
vision_model.vision._en.stages.2.blocks.2.mlp.fc2.bias,256
vision_model.vision._en.stages.2.blocks.2.layer_scale.gamma,256
vision_model.vision._en.stages.2.blocks.3.token_mixer.reparam_conv.weight,2304
vision_model.vision._en.stages.2.blocks.3.token_mixer.reparam_conv.bias,256
vision_model.vision._en.stages.2.blocks.3.mlp.fc1.weight,196608
vision_model.vision._en.stages.2.blocks.3.mlp.fc1.bias,768
vision_model.vision._en.stages.2.blocks.3.mlp.fc2.weight,196608
vision_model.vision._en.stages.2.blocks.3.mlp.fc2.bias,256
vision_model.vision._en.stages.2.blocks.3.layer_scale.gamma,256
vision_model.vision._en.stages.2.blocks.4.token_mixer.reparam_conv.weight,2304
vision_model.vision._en.stages.2.blocks.4.token_mixer.reparam_conv.bias,256
vision_model.vision._en.stages.2.blocks.4.mlp.fc1.weight,196608
vision_model.vision._en.stages.2.blocks.4.mlp.fc1.bias,768
vision_model.vision._en.stages.2.blocks.4.mlp.fc2.weight,196608
vision_model.vision._en.stages.2.blocks.4.mlp.fc2.bias,256
vision_model.vision._en.stages.2.blocks.4.layer_scale.gamma,256
vision_model.vision._en.stages.2.blocks.5.token_mixer.reparam_conv.weight,2304
vision_model.vision._en.stages.2.blocks.5.token_mixer.reparam_conv.bias,256
vision_model.vision._en.stages.2.blocks.5.mlp.fc1.weight,196608
vision_model.vision._en.stages.2.blocks.5.mlp.fc1.bias,768
vision_model.vision._en.stages.2.blocks.5.mlp.fc2.weight,196608
vision_model.vision._en.stages.2.blocks.5.mlp.fc2.bias,256
vision_model.vision._en.stages.2.blocks.5.layer_scale.gamma,256
vision_model.vision._en.stages.3.downsample.proj.0.reparam_conv.weight,25088
vision_model.vision._en.stages.3.downsample.proj.0.reparam_conv.bias,512
vision_model.vision._en.stages.3.downsample.proj.1.reparam_conv.weight,262144
vision_model.vision._en.stages.3.downsample.proj.1.reparam_conv.bias,512
vision_model.vision._en.stages.3.blocks.0.token_mixer.reparam_conv.weight,4608
vision_model.vision._en.stages.3.blocks.0.token_mixer.reparam_conv.bias,512
vision_model.vision._en.stages.3.blocks.0.mlp.fc1.weight,786432
vision_model.vision._en.stages.3.blocks.0.mlp.fc1.bias,1536
vision_model.vision._en.stages.3.blocks.0.mlp.fc2.weight,786432
vision_model.vision._en.stages.3.blocks.0.mlp.fc2.bias,512
vision_model.vision._en.stages.3.blocks.0.layer_scale.gamma,512
vision_model.vision._en.stages.3.blocks.1.token_mixer.reparam_conv.weight,4608
vision_model.vision._en.stages.3.blocks.1.token_mixer.reparam_conv.bias,512
vision_model.vision._en.stages.3.blocks.1.mlp.fc1.weight,786432
vision_model.vision._en.stages.3.blocks.1.mlp.fc1.bias,1536
vision_model.vision._en.stages.3.blocks.1.mlp.fc2.weight,786432
vision_model.vision._en.stages.3.blocks.1.mlp.fc2.bias,512
vision_model.vision._en.stages.3.blocks.1.layer_scale.gamma,512
vision_model.vision._en.final_conv.se.fc1.weight,65536
vision_model.vision._en.final_conv.se.fc1.bias,64
vision_model.vision._en.final_conv.se.fc2.weight,65536
vision_model.vision._en.final_conv.se.fc2.bias,1024
vision_model.vision._en.final_conv.reparam_conv.weight,9216
