index,type,name
1,Cast,/Cast
2,Cast,/Cast_1
3,Concat,/vision_model/Concat
4,Conv,/vision_model/vision/_en/stem/stem.0/reparam_conv/Conv
5,Mul,/vision_model/vision/_en/stem/stem.0/act/Mul
6,Mul,/vision_model/vision/_en/stem/stem.0/act/Mul_1
7,Constant,/vision_model/vision/_en/stem/stem.0/act/Constant
8,Mul,/vision_model/vision/_en/stem/stem.0/act/Mul_2
9,Add,/vision_model/vision/_en/stem/stem.0/act/Add
10,Constant,/vision_model/vision/_en/stem/stem.0/act/Constant_1
11,Mul,/vision_model/vision/_en/stem/stem.0/act/Mul_3
12,Tanh,/vision_model/vision/_en/stem/stem.0/act/Tanh
13,Constant,/vision_model/vision/_en/stem/stem.0/act/Constant_2
14,Add,/vision_model/vision/_en/stem/stem.0/act/Add_1
15,Mul,/vision_model/vision/_en/stem/stem.0/act/Mul_4
16,Constant,/vision_model/vision/_en/stem/stem.0/act/Constant_3
17,Mul,/vision_model/vision/_en/stem/stem.0/act/Mul_5
18,Conv,/vision_model/vision/_en/stem/stem.1/reparam_conv/Conv
19,Mul,/vision_model/vision/_en/stem/stem.1/act/Mul
20,Mul,/vision_model/vision/_en/stem/stem.1/act/Mul_1
21,Constant,/vision_model/vision/_en/stem/stem.1/act/Constant
22,Mul,/vision_model/vision/_en/stem/stem.1/act/Mul_2
23,Add,/vision_model/vision/_en/stem/stem.1/act/Add
24,Constant,/vision_model/vision/_en/stem/stem.1/act/Constant_1
25,Mul,/vision_model/vision/_en/stem/stem.1/act/Mul_3
26,Tanh,/vision_model/vision/_en/stem/stem.1/act/Tanh
27,Constant,/vision_model/vision/_en/stem/stem.1/act/Constant_2
28,Add,/vision_model/vision/_en/stem/stem.1/act/Add_1
29,Mul,/vision_model/vision/_en/stem/stem.1/act/Mul_4
30,Constant,/vision_model/vision/_en/stem/stem.1/act/Constant_3
31,Mul,/vision_model/vision/_en/stem/stem.1/act/Mul_5
32,Conv,/vision_model/vision/_en/stem/stem.2/reparam_conv/Conv
33,Mul,/vision_model/vision/_en/stem/stem.2/act/Mul
34,Mul,/vision_model/vision/_en/stem/stem.2/act/Mul_1
35,Constant,/vision_model/vision/_en/stem/stem.2/act/Constant
36,Mul,/vision_model/vision/_en/stem/stem.2/act/Mul_2
37,Add,/vision_model/vision/_en/stem/stem.2/act/Add
38,Constant,/vision_model/vision/_en/stem/stem.2/act/Constant_1
39,Mul,/vision_model/vision/_en/stem/stem.2/act/Mul_3
40,Tanh,/vision_model/vision/_en/stem/stem.2/act/Tanh
41,Constant,/vision_model/vision/_en/stem/stem.2/act/Constant_2
42,Add,/vision_model/vision/_en/stem/stem.2/act/Add_1
43,Mul,/vision_model/vision/_en/stem/stem.2/act/Mul_4
44,Constant,/vision_model/vision/_en/stem/stem.2/act/Constant_3
45,Mul,/vision_model/vision/_en/stem/stem.2/act/Mul_5
46,Conv,/vision_model/vision/_en/stages.0/blocks/blocks.0/token_mixer/reparam_conv/Conv
47,Conv,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/conv/conv/Conv
48,Conv,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/fc1/Conv
49,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/act/Mul
50,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/act/Mul_1
51,Constant,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/act/Constant
52,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/act/Mul_2
53,Add,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/act/Add
54,Constant,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/act/Constant_1
55,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/act/Mul_3
56,Tanh,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/act/Tanh
57,Constant,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/act/Constant_2
58,Add,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/act/Add_1
59,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/act/Mul_4
60,Constant,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/act/Constant_3
61,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/act/Mul_5
62,Conv,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/fc2/Conv
63,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.0/layer_scale/Mul
64,Add,/vision_model/vision/_en/stages.0/blocks/blocks.0/Add
65,Conv,/vision_model/vision/_en/stages.0/blocks/blocks.1/token_mixer/reparam_conv/Conv
66,Conv,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/conv/conv/Conv
67,Conv,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/fc1/Conv
68,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/act/Mul
69,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/act/Mul_1
70,Constant,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/act/Constant
71,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/act/Mul_2
72,Add,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/act/Add
73,Constant,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/act/Constant_1
74,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/act/Mul_3
75,Tanh,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/act/Tanh
76,Constant,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/act/Constant_2
77,Add,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/act/Add_1
78,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/act/Mul_4
79,Constant,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/act/Constant_3
80,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/act/Mul_5
81,Conv,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/fc2/Conv
82,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.1/layer_scale/Mul
83,Add,/vision_model/vision/_en/stages.0/blocks/blocks.1/Add
84,Conv,/vision_model/vision/_en/stages.1/downsample/proj/proj.0/reparam_conv/Conv
85,Conv,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/reparam_conv/Conv
86,Mul,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Mul
87,Mul,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Mul_1
88,Constant,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Constant
89,Mul,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Mul_2
90,Add,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Add
91,Constant,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Constant_1
92,Mul,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Mul_3
93,Tanh,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Tanh
94,Constant,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Constant_2
95,Add,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Add_1
96,Mul,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Mul_4
97,Constant,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Constant_3
98,Mul,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Mul_5
99,Conv,/vision_model/vision/_en/stages.1/blocks/blocks.0/token_mixer/reparam_conv/Conv
100,Conv,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/conv/conv/Conv
101,Conv,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/fc1/Conv
102,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Mul
103,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Mul_1
104,Constant,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Constant
105,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Mul_2
106,Add,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Add
107,Constant,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Constant_1
108,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Mul_3
109,Tanh,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Tanh
110,Constant,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Constant_2
111,Add,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Add_1
112,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Mul_4
113,Constant,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Constant_3
114,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Mul_5
115,Conv,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/fc2/Conv
116,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.0/layer_scale/Mul
117,Add,/vision_model/vision/_en/stages.1/blocks/blocks.0/Add
118,Conv,/vision_model/vision/_en/stages.1/blocks/blocks.1/token_mixer/reparam_conv/Conv
119,Conv,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/conv/conv/Conv
120,Conv,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/fc1/Conv
121,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Mul
122,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Mul_1
123,Constant,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Constant
124,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Mul_2
125,Add,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Add
126,Constant,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Constant_1
127,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Mul_3
128,Tanh,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Tanh
129,Constant,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Constant_2
130,Add,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Add_1
131,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Mul_4
132,Constant,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Constant_3
133,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Mul_5
134,Conv,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/fc2/Conv
135,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.1/layer_scale/Mul
136,Add,/vision_model/vision/_en/stages.1/blocks/blocks.1/Add
137,Conv,/vision_model/vision/_en/stages.2/downsample/proj/proj.0/reparam_conv/Conv
138,Conv,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/reparam_conv/Conv
139,Mul,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Mul
140,Mul,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Mul_1
141,Constant,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Constant
142,Mul,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Mul_2
143,Add,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Add
144,Constant,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Constant_1
145,Mul,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Mul_3
146,Tanh,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Tanh
147,Constant,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Constant_2
148,Add,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Add_1
149,Mul,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Mul_4
150,Constant,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Constant_3
151,Mul,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Mul_5
152,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.0/token_mixer/reparam_conv/Conv
153,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/conv/conv/Conv
154,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/fc1/Conv
155,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Mul
156,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Mul_1
157,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Constant
158,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Mul_2
159,Add,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Add
160,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Constant_1
161,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Mul_3
