index,type,name
1,Cast,/Cast
2,Cast,/Cast_1
3,Concat,/vision_model/Concat
4,Conv,/vision_model/vision/_en/stem/stem.0/reparam_conv/Conv
5,Mul,/vision_model/vision/_en/stem/stem.0/act/Mul
6,Mul,/vision_model/vision/_en/stem/stem.0/act/Mul_1
7,Mul,/vision_model/vision/_en/stem/stem.0/act/Mul_2
8,Add,/vision_model/vision/_en/stem/stem.0/act/Add
9,Mul,/vision_model/vision/_en/stem/stem.0/act/Mul_3
10,Tanh,/vision_model/vision/_en/stem/stem.0/act/Tanh
11,Add,/vision_model/vision/_en/stem/stem.0/act/Add_1
12,Mul,/vision_model/vision/_en/stem/stem.0/act/Mul_4
13,Mul,/vision_model/vision/_en/stem/stem.0/act/Mul_5
14,Conv,/vision_model/vision/_en/stem/stem.1/reparam_conv/Conv
15,Mul,/vision_model/vision/_en/stem/stem.1/act/Mul
16,Mul,/vision_model/vision/_en/stem/stem.1/act/Mul_1
17,Mul,/vision_model/vision/_en/stem/stem.1/act/Mul_2
18,Add,/vision_model/vision/_en/stem/stem.1/act/Add
19,Mul,/vision_model/vision/_en/stem/stem.1/act/Mul_3
20,Tanh,/vision_model/vision/_en/stem/stem.1/act/Tanh
21,Add,/vision_model/vision/_en/stem/stem.1/act/Add_1
22,Mul,/vision_model/vision/_en/stem/stem.1/act/Mul_4
23,Mul,/vision_model/vision/_en/stem/stem.1/act/Mul_5
24,Conv,/vision_model/vision/_en/stem/stem.2/reparam_conv/Conv
25,Mul,/vision_model/vision/_en/stem/stem.2/act/Mul
26,Mul,/vision_model/vision/_en/stem/stem.2/act/Mul_1
27,Mul,/vision_model/vision/_en/stem/stem.2/act/Mul_2
28,Add,/vision_model/vision/_en/stem/stem.2/act/Add
29,Mul,/vision_model/vision/_en/stem/stem.2/act/Mul_3
30,Tanh,/vision_model/vision/_en/stem/stem.2/act/Tanh
31,Add,/vision_model/vision/_en/stem/stem.2/act/Add_1
32,Mul,/vision_model/vision/_en/stem/stem.2/act/Mul_4
33,Mul,/vision_model/vision/_en/stem/stem.2/act/Mul_5
34,Conv,/vision_model/vision/_en/stages.0/blocks/blocks.0/token_mixer/reparam_conv/Conv
35,Conv,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/conv/conv/Conv
36,Conv,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/fc1/Conv
37,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/act/Mul
38,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/act/Mul_1
39,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/act/Mul_2
40,Add,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/act/Add
41,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/act/Mul_3
42,Tanh,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/act/Tanh
43,Add,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/act/Add_1
44,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/act/Mul_4
45,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/act/Mul_5
46,Conv,/vision_model/vision/_en/stages.0/blocks/blocks.0/mlp/fc2/Conv
47,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.0/layer_scale/Mul
48,Add,/vision_model/vision/_en/stages.0/blocks/blocks.0/Add
49,Conv,/vision_model/vision/_en/stages.0/blocks/blocks.1/token_mixer/reparam_conv/Conv
50,Conv,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/conv/conv/Conv
51,Conv,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/fc1/Conv
52,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/act/Mul
53,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/act/Mul_1
54,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/act/Mul_2
55,Add,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/act/Add
56,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/act/Mul_3
57,Tanh,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/act/Tanh
58,Add,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/act/Add_1
59,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/act/Mul_4
60,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/act/Mul_5
61,Conv,/vision_model/vision/_en/stages.0/blocks/blocks.1/mlp/fc2/Conv
62,Mul,/vision_model/vision/_en/stages.0/blocks/blocks.1/layer_scale/Mul
63,Add,/vision_model/vision/_en/stages.0/blocks/blocks.1/Add
64,Conv,/vision_model/vision/_en/stages.1/downsample/proj/proj.0/reparam_conv/Conv
65,Conv,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/reparam_conv/Conv
66,Mul,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Mul
67,Mul,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Mul_1
68,Mul,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Mul_2
69,Add,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Add
70,Mul,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Mul_3
71,Tanh,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Tanh
72,Add,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Add_1
73,Mul,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Mul_4
74,Mul,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Mul_5
75,Conv,/vision_model/vision/_en/stages.1/blocks/blocks.0/token_mixer/reparam_conv/Conv
76,Conv,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/conv/conv/Conv
77,Conv,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/fc1/Conv
78,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Mul
79,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Mul_1
80,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Mul_2
81,Add,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Add
82,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Mul_3
83,Tanh,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Tanh
84,Add,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Add_1
85,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Mul_4
86,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Mul_5
87,Conv,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/fc2/Conv
88,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.0/layer_scale/Mul
89,Add,/vision_model/vision/_en/stages.1/blocks/blocks.0/Add
90,Conv,/vision_model/vision/_en/stages.1/blocks/blocks.1/token_mixer/reparam_conv/Conv
91,Conv,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/conv/conv/Conv
92,Conv,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/fc1/Conv
93,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Mul
94,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Mul_1
95,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Mul_2
96,Add,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Add
97,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Mul_3
98,Tanh,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Tanh
99,Add,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Add_1
100,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Mul_4
101,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Mul_5
102,Conv,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/fc2/Conv
103,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.1/layer_scale/Mul
104,Add,/vision_model/vision/_en/stages.1/blocks/blocks.1/Add
105,Conv,/vision_model/vision/_en/stages.2/downsample/proj/proj.0/reparam_conv/Conv
106,Conv,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/reparam_conv/Conv
107,Mul,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Mul
108,Mul,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Mul_1
109,Mul,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Mul_2
110,Add,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Add
111,Mul,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Mul_3
112,Tanh,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Tanh
113,Add,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Add_1
114,Mul,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Mul_4
115,Mul,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Mul_5
116,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.0/token_mixer/reparam_conv/Conv
117,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/conv/conv/Conv
118,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/fc1/Conv
119,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Mul
120,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Mul_1
121,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Mul_2
122,Add,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Add
123,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Mul_3
124,Tanh,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Tanh
125,Add,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Add_1
126,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Mul_4
127,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Mul_5
128,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/fc2/Conv
129,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.0/layer_scale/Mul
130,Add,/vision_model/vision/_en/stages.2/blocks/blocks.0/Add
131,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.1/token_mixer/reparam_conv/Conv
132,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/conv/conv/Conv
133,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/fc1/Conv
134,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/act/Mul
135,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/act/Mul_1
136,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/act/Mul_2
137,Add,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/act/Add
138,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/act/Mul_3
139,Tanh,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/act/Tanh
140,Add,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/act/Add_1
141,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/act/Mul_4
142,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/act/Mul_5
143,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/fc2/Conv
144,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.1/layer_scale/Mul
145,Add,/vision_model/vision/_en/stages.2/blocks/blocks.1/Add
146,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.2/token_mixer/reparam_conv/Conv
147,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/conv/conv/Conv
148,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/fc1/Conv
149,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/act/Mul
150,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/act/Mul_1
151,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/act/Mul_2
152,Add,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/act/Add
153,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/act/Mul_3
154,Tanh,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/act/Tanh
155,Add,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/act/Add_1
156,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/act/Mul_4
157,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/act/Mul_5
158,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/fc2/Conv
